age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AY	1		NINETEEN		711.9	1710.3	2699.3	152.8	127.8	520.7	11.405	11.395	11.475	0.08																705.7	1732.2	666.6	1824	631.1	1956.9	574.3	2026	499.9	1813.1	5
												IY	0		SEVENTY		480.8	2003.5	2763	166.8	340.5	485.4	11.885	11.865	11.924	0.059																481.8	1930.8	479.6	2012.7	476.6	2047.4	475.3	2081.6	488.9	2095.2	5
												AY	1		NINE		757.2	1636	2282.7	134.3	196.7	990.7	12.037	12.005	12.115	0.11								s								741.9	1678.4	750.9	1627.8	743.3	1653.6	690.2	1700.7	594.2	1784.9	6
												OW	1		OH		721.7	1083.4	2011.5	89.4	99.4	2315	21.351	21.344	21.394	0.05																721.7	1083.4	720.6	1076.4	712.5	1068.3	699.1	1060	687.7	1051.6	6
												AY	1		I		770.6	1306.7	3535.1	170.1	185	337	21.468	21.394	21.544	0.15																741.4	1099.7	749.8	1172.4	770.6	1315.5	761.3	1645.2	640.4	1956.7	4
												OW	1		DON'T		653.9	1067.2	2650.9	163.9	326.7	501.1	21.636	21.604	21.734	0.13																621.4	1174.1	689.6	886.1	705.2	797.2	678.6	804.9	612.5	786.3	5
												UW	1		UTICA		406.6	1783.5	2473.6	44.5	257.3	151.9	22.03	22.013	22.064	0.051																408.4	1791	406.1	1782.1	401.2	1773.8	394.4	1780.8	392.7	1797.6	5
												AW	1		NOW		801.9	1536.9	2389.5	86.7	85	667.4	22.358	22.303	22.534	0.231																794.6	1558.2	814.3	1443	831.4	1300.7	772.5	1179.4	724.6	1054.8	5
												AY	1		I		690.9	1576.4	2497.3	81.2	214.6	517.5	22.771	22.747	22.848	0.101								m								689.4	1565.4	675.2	1613.7	637.1	1623.4	592.6	1614	521.8	1566.7	5
												IH	1		LIVE		423.2	1501.4	2639.8	122.4	217	507.3	22.978	22.928	23.078	0.15																506.6	1601	411.6	1483.8	339.1	1417.3	369	1497.4	458	1687.9	6
												AH	1		UH		721.5	1443.5	2620	57.7	62.6	635.7	23.255	23.148	23.468	0.32																742.8	1455	719.3	1444.6	723.2	1445.1	712.9	1490.6	689.4	1492.9	5
												AY	1		I		695.3	1603.2	3188.1	312.6	155.4	633.3	23.455	23.468	23.537	0.069								m										1307.1	4060.3	1155.8	3546.6	1129.6	3525.9	1444.5	4474.6	4
												IH	1		LIVE		502.3	1584.7	2456.4	82.2	136.4	1141.2	23.704	23.618	23.877	0.259																362.7	1429.1	500.8	1607.6	457.1	1586.7	492.4	1472.2	618.5	1464.3	6
												IH	1		IN		521.2	1835.5	2893.5	194.3	286.6	255.7	24.001	23.958	24.088	0.13																544.8	1619	521.9	1871.5	511.5	2070.4	524.5	2062.1	545.2	2038.4	5
												IH	1		LIVED		487.8	1588.1	3027.9	88.5	169.2	489.7	31.621	31.604	31.654	0.05																492	1586.9	487.8	1588.1	478.2	1587.5	470.4	1596.3	466	1595.6	4
												IH	1		IN		511	1925	2990.6	84.2	444.2	1335.3	31.857	31.744	32.084	0.34																442.6	1799.8	519.4	1943.2	554.1	1834.2	556.5	1848.6	537.6	1789.9	4
												IY	1		EAST		358.7	2324.5	3237.2	168.1	534.5	1171.7	33.283	33.236	33.376	0.14																352.4	2391	359.4	2330.2	370.9	2502	360.1	2430.2	294.5	2428.1	4
												IY	0		THE		452.3	2071.8	3008.8	194.9	347.9	493.7	34.566	34.546	34.607	0.061																447.8	2072.8	453	2072.1	465.2	2089.7	503.9	2118.2	540.7	2109.9	4
												EH	1		AREA		582.4	1669.7	2416.3	67.2	247.8	392.6	34.627	34.607	34.667	0.06																578.8	1694.3	583	1668.9	583.7	1668.9	580	1678.4	573.3	1693.1	5
												IY	0		AREA		539.3	1880.4	2519.1	178.1	172.9	875.4	34.724	34.697	34.777	0.08																557.6	1857.9	538	1881	540.9	1857.4	557.2	1854.6	561	1817.6	5
												AH	0		AREA		489.2	1341.3	2280	162.5	184.7	623.5	34.794	34.777	34.827	0.05																496.3	1388.8	489.2	1341.3	480.6	1223.4	490.6	1154.5	515.8	1117.9	6
												ER	1		WE'RE		548.4	1485.5	1719.6	193.1	242	252.5	35.15	35.126	35.197	0.071																531	1491.6	551.4	1487.9	577.6	1502.8	602.3	1553.1	621.4	1625	6
												IH	1		IN		567.5	1912.1	2541.5	100.6	119.7	242.7	35.227	35.197	35.287	0.09																595.4	1851.6	565.6	1917.2	551.6	1989	531.9	2028.7	521	1781.5	6
												AY	1		RIGHT		795.9	1353.3	2837	97.6	79.3	241.1	35.483	35.496	35.587	0.091								m								775.9	1246.4	773.4	1228.7	775	1210.9	770.2	1211.7	776.5	1273.5	5
												ER	1		FIRST		414.7	1449	1716.3	133.6	72	751.7	36.659	36.632	36.713	0.081																423.8	1435.6	415.5	1452.3	435.5	1492.4	470.2	1428.3	486.8	1393.6	6
												AO	1		BORN		591.8	839.1	2172.1	150.4	728.2	967.7	36.91	36.863	37.003	0.14																546.8	854.4	598	836.2	608.4	827.6	581.9	901.4	568.5	1007.1	6
												AE	1		AFTER		712.3	1763.6	2602	62	113.2	383.1	38.036	38.009	38.089	0.08																718.5	1757.7	711.1	1763.2	686.5	1754.3	641.6	1731.2	560.2	1660.1	5
												ER	0		AFTER		454.4	1601.4	2752.5	146.4	160.1	787.2	38.196	38.179	38.229	0.05																461.3	1607.4	454.4	1601.4	448.3	1598.6	442.6	1595.3	441.5	1593.2	5
												AE	1		THAT		713.4	1685.2	2485.8	63.6	89.9	248.8	38.349	38.269	38.509	0.24																669	1684.5	716.7	1682.9	726.3	1628.5	724.6	1594.3	694.2	1557.4	5
												AH	1		MOTHER		669.9	1233.3	2769.2	92.8	62.5	744.5	38.928	38.911	38.961	0.05																689	1227.1	669.9	1233.3	615.4	1242.5	557.6	1248.2	511.8	1253.3	5
												AA	1		FATHER		784.7	1276.6	2953.3	139.7	167.5	247.6	39.241	39.171	39.381	0.21																751.3	1258.7	790.7	1273.3	818.3	1281.4	824.1	1316.7	779.7	1360.6	4
												ER	0		FATHER		496.4	1585.2	2073.7	57	165.1	370	39.507	39.44	39.641	0.201																533.6	1578.5	494.9	1580.5	484	1562.2	474.7	1524.8	490.9	1557.8	5
												UW	1		TO		360.2	1942.2	2878	601	318.4	341.2	40.267	40.26	40.56	0.3																446.1	1886.4	501.8	2052.8	546.1	1543.1	520.8	1302.2	571.2	1957	4
												EH	1		CONNECTICUT		727.8	1763.3	2509.7	59.6	179.4	243.9	41.345	41.318	41.398	0.08																706.3	1780.6	728.7	1761.6	720.3	1744.4	677.3	1723	617	1682.9	5
												AH	0		CONNECTICUT		522.9	1950.7	2571.8	69.4	182.2	256.2	41.635	41.578	41.748	0.17																495	2045.2	524.3	1952.5	535.2	1860.9	541.1	1778.8	518.2	1671.2	6
												ER	0		FOR		478.1	1296.8	1737.9	130.3	181.2	1290.9	41.911	41.888	41.958	0.07																504.3	1407.6	478.6	1289.1	481.3	1270.2	474.8	1279	468.7	1296.3	6
												AW	1		ABOUT		718.7	1295.3	2928.1	125.4	204	300.5	42.077	42.037	42.198	0.161																718.8	1298.2	714	1280.2	738.6	1183.8	722.1	1283.2	772.4	2046.7	4
												UW	1		TWO		548.2	1298.8	2299.4	596.8	276.2	822	42.467	42.458	42.548	0.09																437.2	1238.8	389.5	1077.8	390.2	1040.9	386.1	1253.2	374.4	1355	6
												ER	0		YEARS		435.7	1627.7	1683.4	90.6	246.2	324.6	42.828	42.758	42.968	0.21																450.3	1644.5	433.4	1616.5	438.7	1590.4	423.5	1587.2	414.8	1656.2	6
												AY	1		MY		708.8	1614.5	2615.1	157.1	115.1	355.7	44.05	44.036	44.087	0.051								s								707.3	1585.7	705.2	1637	679.1	1674.6	654.8	1744.5	647.2	1807.5	5
												EH	1		PARENTS		642.2	1681.2	2060	90.4	159.5	392.7	44.214	44.197	44.247	0.05																639.7	1690.5	642.2	1681.2	648.5	1668.4	647.1	1653.6	640.7	1649.3	6
												ER	0		WERE		451.8	1370.6	2216.2	185.7	213.9	795.3	44.5	44.477	44.547	0.07																456.7	1315.3	449.1	1378.1	486.6	1426.4	568.8	1516	692.6	1657.5	6
												AO	1		DIVORCED		618.4	993.1	2131.3	150.5	917.8	472.6	44.787	44.757	44.846	0.089																627	846	614.7	999.1	569.6	1110.3	545.8	1147.4	531.7	1189.2	6
												AE	1		THAT		638.8	1756.9	2718.1	89.7	158	377	45.176	45.146	45.237	0.091																592.8	1719.5	644.7	1762.6	650.1	1791.6	645.4	1799.9	664	1778	6
												EY	1		THEY		538	1851.3	2419.6	97.5	567.5	305.5	45.491	45.478	45.529	0.051																538	1851.3	528.1	1836.1	514.7	1823	507.2	1825.6	509.2	1842.6	5
												AA	1		GOT		744.4	1701	2430.6	71	273.7	305.3	45.576	45.549	45.629	0.08																719.1	1728.8	746.5	1697.4	761.5	1679.2	764.7	1698.8	714	1729.3	6
