age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants
												AY	1		NINETEEN		724	2068.2	2535.7	124.9	108.3	2301.5	25.824	25.818	25.878	0.06								s								715	2088.4	693.4	2132.7	670.4	2201.6	647	2171	622	2174.8	5
												IY	1		NINETEEN		642.3	2877.7	4013.7	608.8	326.6	677.7	26.148	26.118	26.208	0.09																610.9	2918.8	646.7	2876	625.8	2863.8	494.6	2841.1	472.4	2824.7	3
												AY	1		I		1055.7	1740.1	3132.6	412.2	126.8	284.5	31.398	31.345	31.475	0.13								m								886.4	1626.7	1036.2	1707.6	982.7	1767.3	912.3	1781.2	825.5	1673	5
												AH	0		WAS		556.5	1454.4	3404.9	198.7	98.6	65.1	31.522	31.505	31.555	0.05																578.2	1470.3	556.5	1454.4	510.7	1426.2	470.8	1408.8	455.4	1415.6	5
												AO	1		BORN		676.5	937.5	2893.8	225.7	271.1	484.9	31.748	31.705	31.834	0.129																615.9	944.7	678.7	939.6	693.8	1022.4	685.1	1158.7	694.5	1321.3	6
												AH	0		IN		549	1774.4	3327.8	106.5	320	596.7	32.142	32.105	32.215	0.11																649.7	2001.5	551.8	1768.4	598.6	1921.9	616.8	1953.6	609	1989.2	4
												AO	1		NORTH		701.5	1540.2	2284.3	55.5	180.9	243	32.328	32.304	32.375	0.071																698.7	1522.2	701.6	1544.3	702.2	1598.3	698.7	1651.3	685.9	1676.3	6
												AY	1		CAROLINA		710.5	1682.7	1817.2	155.6	302.2	358.5	32.766	32.734	32.845	0.111								m								701.5	1614.8	709.9	1692.9	690.3	1652.3	668.3	1623	641.2	1513.3	6
												AH	0		CAROLINA		652.6	1777.1	2304.7	101.2	100.2	1159.8	32.948	32.925	32.994	0.069																648.4	1801.3	653.2	1773.2	663.2	1736.5	687.2	1729.9	673.4	1766.5	5
												AO	1		NORTH		635.1	1425.8	2568	68.1	83.1	580.4	33.734	33.707	33.787	0.08																633.3	1392.9	635.7	1427.8	643.4	1453.2	645.5	1490.5	635.6	1540	5
												AY	1		CAROLINA		724.1	1864.5	2121.4	236.8	116.4	2134.3	34.133	34.106	34.257	0.151								s								676.4	1553	704.2	1764.5	716.6	1909	681.8	2013.2	633.9	2085.2	5
												AY	1		I		829.4	1608.6	2107.7	213.2	411.7	245.5	34.64	34.645	34.725	0.08								m								780.7	1497.7	714.7	1447.2	653.5	1469.6	607.7	1456.9	571.6	1340.3	6
												EY	1		CAME		605.4	2813	3263.8	152.3	161.5	207.7	34.937	34.905	34.975	0.07																584.9	2808.6	600.8	2811.8	604.8	2812.1	592.1	2796.2	579.2	2717.1	4
												IH	1		HERE		607.7	2519.8	3056.9	139.5	172.9	1085.4	35.232	35.145	35.405	0.26																593.7	2617.6	615	2492.3	647.3	2161.5	656.6	2040.3	660	1910.8	5
												UW	1		TWO		529	1724	2622.9	118.5	159.1	963.2	41.258	41.251	41.341	0.09																531.7	1666.7	546.1	1538.7	563	1360.6	583	1173.8	588.1	964.1	6
												AO	1		OR		622	942	2368.9	195.2	196.6	242.8	41.361	41.341	41.401	0.06																634.9	886.7	620.6	950.7	605.1	1044.9	600.6	1171.5	608.1	1273.6	6
												IY	1		THREE		642.8	2255.1	2711.2	216.5	151	286.7	41.671	41.651	41.711	0.06																629.1	2191.3	645	2262.5	663.2	2313.5	673.6	2340.9	670.9	2343	5
												ER	0		OR		601	1629.3	2265.4	125	183.7	178.2	42.184	42.164	42.224	0.06																589.4	1569.1	601.2	1636.3	587.6	1674.2	588.2	1687.2	601.2	1695.6	6
												AY	1		I		984	1673.6	3042.4	398.7	138.5	1248.6	45.181	45.146	45.266	0.12								s								930.6	1597.6	974.1	1727.1	894.4	1846.4	797.4	1910.5	723.4	1894.2	5
												IH	1		LIVE		619.6	1601.9	2458.5	94.6	85.7	1099.9	45.366	45.346	45.406	0.06																625.2	1596	618	1601.5	597.9	1585.5	581.2	1560.6	564.1	1548.4	6
												IY	1		EAST		530.6	2731.8	3229.5	143.4	151.4	278.2	45.582	45.556	45.635	0.079																556.5	2695	523.4	2735.4	486.8	2669.7	461.9	2426.4	451.4	2202.7	5
												AY	1		I'VE		835.5	1834.2	2757	106.5	177.1	370.3	46.019	45.956	46.095	0.139								m								787.9	1877.3	831.2	1859.6	834.2	1828.3	806.4	1822	779.3	1827.9	5
												AH	0		IN		571.4	1655.5	2007.4	74.9	117.8	1759.9	46.376	46.356	46.416	0.06																554.3	1666.9	573.4	1654.8	584.4	1647.5	596.5	1629	602	1614.2	6
												EY	1		SAME		610.6	2154.3	2430.6	47.3	143.2	1657.9	46.71	46.666	46.785	0.119																582.3	2034.2	610.4	2144	605.7	2255.2	598.8	2221.2	596.1	2100.2	6
												AA	1		PART		846.9	1575.1	2298.8	85.2	288.1	410.9	46.936	46.916	46.976	0.06																837.7	1588.6	847.5	1573.5	838.6	1579.8	820.8	1633.4	803.4	1668.8	6
												IY	1		EAST		571.2	2591.5	3295.5	285.6	193.8	500.6	47.226	47.196	47.286	0.09																562.2	2484.9	570.4	2595.3	539.8	2599.3	486.6	2563.8	425.6	2496.9	4
												UW	1		UTICA		443.2	1966.2	2626.8	113.3	198.7	187.5	47.463	47.446	47.496	0.05																439.6	1979.4	443.2	1966.2	448.6	1946.8	460.3	1939.5	480.3	1939.5	5
												AH	0		UTICA		745.1	1688.6	2793.3	107	256.7	182	47.653	47.616	47.726	0.11																692	1708.2	748.1	1689.5	775.7	1665.8	789.1	1647.3	791.2	1622.4	5
												AY	1		I		804.7	1648.3	2729.3	98.7	543.7	397.1	48.076	48.086	48.226	0.14																786.5	1711.7	788.4	1788.3	739.4	1947.8	641.6	2099.2	588.3	2292.8	5
												EY	1		CAME		625.5	2783.1	3357.5	155.8	259	839.7	48.369	48.326	48.416	0.09																596	2766.4	625	2779.5	621.6	2650.7	618.8	2631.9	613.6	2689.7	5
												AY	1		LIVE		672	1525	3392.2	153	120.6	162.2	49.534	49.547	49.697	0.15								s								655.2	1536.6	656.2	1653.4	660	1690.5	666.2	1690	648.2	1680.2	4
												OW	1		OVER		676.8	1024	2666.6	52.2	100.4	526.1	50.036	49.997	50.137	0.14																718.7	1051.3	672.4	1017.8	608.6	1049	589.4	1052.5	583.3	1018.1	6
												ER	0		OVER		699.1	1718.8	2175.7	83.6	180.9	317.8	50.357	50.267	50.537	0.27																686.4	1613.5	700.6	1713.9	698.3	1707.9	689.5	1701.7	721.4	1638.7	6
