age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AY	1		NINETEEN		711.9	1710.3	2699.3	152.8	127.8	520.7	11.405	11.395	11.475	0.08																705.7	1732.2	666.6	1824	631.1	1956.9	574.3	2026	499.9	1813.1	5	723	1734	2618	41.44242	1	nineteen	11.41
												AY	1		NINE		757.2	1636	2282.7	134.3	196.7	990.7	12.037	12.005	12.115	0.11								s								741.9	1678.4	750.9	1627.8	743.3	1653.6	690.2	1700.7	594.2	1784.9	6	806	1697	2867	41.4424	1	nine	12.0396
												OW	1		DON'T		653.9	1067.2	2650.9	163.9	326.7	501.1	21.636	21.604	21.734	0.13																621.4	1174.1	689.6	886.1	705.2	797.2	678.6	804.9	612.5	786.3	5	634	991	2295	62.44233	1	don't	21.6393
												AW	1		NOW		801.9	1536.9	2389.5	86.7	85	667.4	22.358	22.303	22.534	0.231																794.6	1558.2	814.3	1443	831.4	1300.7	772.5	1179.4	724.6	1054.8	5	799	1563	2465	42.0004	1	now	22.3516
												IH	1		LIVE		423.2	1501.4	2639.8	122.4	217	507.3	22.978	22.928	23.078	0.15																506.6	1601	411.6	1483.8	339.1	1417.3	369	1497.4	458	1687.9	6	515	1584	2773	1.3227	1	live	22.9456
												IH	1		LIVED		487.8	1588.1	3027.9	88.5	169.2	489.7	31.621	31.604	31.654	0.05																492	1586.9	487.8	1588.1	478.2	1587.5	470.4	1596.3	466	1595.6	4	478	1574	2902	1.3227	1	lived	31.625
												IH	1		IN		511	1925	2990.6	84.2	444.2	1335.3	31.857	31.744	32.084	0.34																442.6	1799.8	519.4	1943.2	554.1	1834.2	556.5	1848.6	537.6	1789.9	4	548	1697	2665	1.442	1	in	31.9199
												IY	1		EAST		358.7	2324.5	3237.2	168.1	534.5	1171.7	33.283	33.236	33.376	0.14																352.4	2391	359.4	2330.2	370.9	2502	360.1	2430.2	294.5	2428.1	4	375	2379	2714	11.34103	1	east	33.3231
												EH	1		AREA		582.4	1669.7	2416.3	67.2	247.8	392.6	34.627	34.607	34.667	0.06																578.8	1694.3	583	1668.9	583.7	1668.9	580	1678.4	573.3	1693.1	5	451	1890	2660	24.60001	1	area	34.5795
												ER	1		FIRST		414.7	1449	1716.3	133.6	72	751.7	36.659	36.632	36.713	0.081																423.8	1435.6	415.5	1452.3	435.5	1492.4	470.2	1428.3	486.8	1393.6	6	414	1421	1634	94.60013	1	first	36.6507
