age	city	ethnicity	first_name	last_name	location	name	sex	state	tiernum	year	years_of_schooling	vowel	stress	pre_word	word	fol_word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	plt_vclass	plt_manner	plt_place	plt_voice	plt_preseg	plt_folseq	style	glide	pre_seg	fol_seg	context	vowel_index	pre_word_trans	word_trans	fol_word_trans	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
												AY	1		NINETEEN		724	2068.2	2535.7	124.9	108.3	2301.5	25.824	25.818	25.878	0.06								s								715	2088.4	693.4	2132.7	670.4	2201.6	647	2171	622	2174.8	5	740	2063	3260	41.44241	1	nineteen	25.8175
												AO	1		BORN		676.5	937.5	2893.8	225.7	271.1	484.9	31.748	31.705	31.834	0.129																615.9	944.7	678.7	939.6	693.8	1022.4	685.1	1158.7	694.5	1321.3	6	663	934	2927	54.6001	1	born	31.7403
												AO	1		NORTH		701.5	1540.2	2284.3	55.5	180.9	243	32.328	32.304	32.375	0.071																698.7	1522.2	701.6	1544.3	702.2	1598.3	698.7	1651.3	685.9	1676.3	6	700	1517	2352	54.6004	1	north	32.3193
												AY	1		CAROLINA		710.5	1682.7	1817.2	155.6	302.2	358.5	32.766	32.734	32.845	0.111								m								701.5	1614.8	709.9	1692.9	690.3	1652.3	668.3	1623	641.2	1513.3	6	818	1710	3325	41.44271	1	(Caro)lina	32.7612
												AO	1		NORTH		635.1	1425.8	2568	68.1	83.1	580.4	33.734	33.707	33.787	0.08																633.3	1392.9	635.7	1427.8	643.4	1453.2	645.5	1490.5	635.6	1540	5	634	1420	2584	54.6004	1	north	33.7319
												AY	1		CAROLINA		724.1	1864.5	2121.4	236.8	116.4	2134.3	34.133	34.106	34.257	0.151								s								676.4	1553	704.2	1764.5	716.6	1909	681.8	2013.2	633.9	2085.2	5	761	1825	3203	41.44271	1	(Caro)lina	34.166
												EY	1		CAME		605.4	2813	3263.8	152.3	161.5	207.7	34.937	34.905	34.975	0.07																584.9	2808.6	600.8	2811.8	604.8	2812.1	592.1	2796.2	579.2	2717.1	4	632	2797	3348	21.412	1	came	34.8995
												IH	1		HERE		607.7	2519.8	3056.9	139.5	172.9	1085.4	35.232	35.145	35.405	0.26																593.7	2617.6	615	2492.3	647.3	2161.5	656.6	2040.3	660	1910.8	5	600	2645	3217	14.6	1	here	35.1869
												UW	1		TWO		529	1724	2622.9	118.5	159.1	963.2	41.258	41.251	41.341	0.09																531.7	1666.7	546.1	1538.7	563	1360.6	583	1173.8	588.1	964.1	6	545	1528	2532	73.0003	1	two	41.2834
												IY	1		THREE		642.8	2255.1	2711.2	216.5	151	286.7	41.671	41.651	41.711	0.06																629.1	2191.3	645	2262.5	663.2	2313.5	673.6	2340.9	670.9	2343	5	654	2365	3035	12.0008	1	three	41.711
